"id","year","month","weekday","time_period","death","injuries","neighbourhood","longitude","latitude"
1816,2011,"November","Thursday","Morning",0,2,"Glenfield-Jane Heights",-79.5103932184,43.7492116795
1817,2011,"November","Friday","Night",0,1,"NSA",0,0
1818,2011,"November","Friday","Evening",0,1,"Golfdale-Cedarbrae-Woburn",-79.2102997448,43.7671657013
1823,2011,"November","Saturday","Evening",0,1,"Humber Summit",-79.5706673289,43.7584764132
1824,2011,"November","Tuesday","Evening",0,0,"Elms-Old Rexdale",-79.5493287722,43.727296229
1825,2011,"November","Wednesday","Evening",0,0,"Englemount-Lawrence",-79.4438748418,43.7194906566
1827,2011,"November","Friday","Night",0,1,"Elms-Old Rexdale",-79.5456654432,43.7212601616
1828,2011,"November","Friday","Night",0,0,"Englemount-Lawrence",-79.4469400294,43.7225550556
1829,2011,"November","Saturday","Evening",0,0,"Black Creek",-79.5154576133,43.757882085
1830,2011,"November","Saturday","Evening",0,0,"Black Creek",-79.5147305161,43.7672126887
1833,2011,"December","Saturday","Morning",0,0,"Malvern East",-79.2312344767,43.7918455899
1834,2011,"December","Saturday","Evening",0,0,"Moss Park",-79.3697148557,43.6617708009
1835,2011,"December","Tuesday","Evening",0,0,"Rockcliffe-Smythe",-79.4937485035,43.6716699334
1836,2011,"December","Wednesday","Morning",0,0,"Kingsview Village-The Westway",-79.5521509564,43.6957896768
1837,2011,"December","Thursday","Night",0,1,"West Humber-Clairville",-79.5739520783,43.7210135512
1838,2011,"December","Sunday","Evening",0,0,"York University Heights",-79.4864081971,43.7447956225
1839,2011,"December","Sunday","Night",0,2,"West Humber-Clairville",-79.6074546694,43.7436455544
1841,2011,"December","Monday","Night",0,1,"Wellington Place",-79.3921757377,43.6474507866
1842,2011,"December","Tuesday","Morning",0,0,"Glenfield-Jane Heights",-79.5168988119,43.7524174814
1843,2011,"December","Thursday","Evening",0,1,"Englemount-Lawrence",-79.441014955,43.7201236567
1844,2011,"December","Friday","Evening",0,2,"Humbermede",-79.5403096959,43.7427228772
1845,2011,"December","Saturday","Night",0,2,"Oakwood Village",-79.4408334975,43.6926505739
1846,2011,"December","Tuesday","Night",0,1,"Dorset Park",-79.2814605155,43.7482186555
1847,2011,"December","Wednesday","Evening",0,0,"West Hill",-79.1947643043,43.7621233931
1848,2011,"December","Thursday","Night",0,1,"West Humber-Clairville",-79.5969171628,43.7451609663
1849,2011,"December","Friday","Morning",1,0,"Golfdale-Cedarbrae-Woburn",-79.2056486193,43.7640619942
1854,2012,"January","Wednesday","Evening",0,1,"Downtown Yonge East",-79.3783041481,43.6562583954
1856,2012,"January","Thursday","Night",0,1,"Regent Park",-79.3586853645,43.6624291015
1859,2012,"January","Saturday","Evening",0,0,"Englemount-Lawrence",-79.4435353439,43.7228278555
1860,2012,"January","Sunday","Evening",0,1,"Eglinton East",-79.2598953237,43.7357688809
1861,2012,"January","Sunday","Evening",0,3,"West Humber-Clairville",-79.5650106506,43.6977256864
1862,2012,"January","Monday","Evening",0,0,"Moss Park",-79.3669402558,43.6564944956
1863,2012,"January","Monday","Evening",0,2,"Kingsview Village-The Westway",-79.5576010702,43.6920679938
1864,2012,"January","Monday","Evening",0,0,"York University Heights",-79.4750493389,43.7572294642
1865,2012,"January","Tuesday","Morning",0,0,"Glenfield-Jane Heights",-79.5080309176,43.748062876
1866,2012,"January","Wednesday","Evening",0,1,"Mount Olive-Silverstone-Jamestown",-79.5863663707,43.7325015778
1868,2012,"January","Friday","Night",0,0,"Kensington-Chinatown",-79.4022536333,43.6520234924
1870,2012,"January","Wednesday","Evening",0,0,"Englemount-Lawrence",-79.4438748418,43.7194906566
1873,2012,"January","Tuesday","Afternoon",1,0,"Malvern West",-79.2209516747,43.8056433004
